Time Series ID	Fly ID	Fly Genotype 	Age	Sex	Stimulus 	Frames (imaging)	Rotation	Z-depth	Layer 	Imaging Frame Rate (Hz)	Wavelength	Transmission (%)	Gain	Offset 	Color Filter 	ND	Dither Hold	isMoving?	isResponding?	comments
161229_fly3_LDM_009	14	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	22	11694.37	2	80	920	13	95	72	482/18	1.3	0	0	1	cells 3-7 responding
161229_fly3_LDM_010	14	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	22	11694.37	2	80	920	13	95	72	482/18	1.3	0	0		
161229_fly3_LDM_011	14	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	22	11699.64	2	80	920	15	95	72	482/18	1.3	0	0	1	cells 2-6 responding
161229_fly3_LDM_012	14	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	22	11699.64	2	80	920	15	95	72	482/18	1.3	0	0		
161230_fly1_LDM	15	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	22	11699.69	2	80	920	8	95	71	482/18	1.3	0	1	1	cells 3-7 responding
161230_fly1_LDM_001	15	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	22	11699.69	2	80	920	9	95	71	482/18	1.3	0	1		
161230_fly1_LDM_002	15	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	24	11709.32	2	80	920	8	95	71	482/18	1.3	0	0	1	cells 6-8 responding
161230_fly1_LDM_003	15	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	24	11709.32	2	80	920	8	95	71	482/18	1.3	0	0		some movement
161230_fly1_LDM_004	15	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	22	11718.45	2	80	920	9	95	71	482/18	1.3	0	0	1	"cells 2-7 responding, probably"
161230_fly1_LDM_005	15	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	22	11718.45	2	80	920	9	95	71	482/18	1.3	0	0		
